,location,date,total_cases,new_cases,total_deaths,new_deaths,population,cases_per_million
50472,Brazil,2020-08-30,3804803.0,272473.0,119504.0,6146.0,215313504,0.01767099104011609
50473,Brazil,2020-08-31,3804803.0,0.0,119504.0,0.0,215313504,0.01767099104011609
50474,Brazil,2020-09-01,3804803.0,0.0,119504.0,0.0,215313504,0.01767099104011609
50475,Brazil,2020-09-02,3804803.0,0.0,119504.0,0.0,215313504,0.01767099104011609
50476,Brazil,2020-09-03,3804803.0,0.0,119504.0,0.0,215313504,0.01767099104011609
50477,Brazil,2020-09-04,3804803.0,0.0,119504.0,0.0,215313504,0.01767099104011609
50478,Brazil,2020-09-05,3804803.0,0.0,119504.0,0.0,215313504,0.01767099104011609
50479,Brazil,2020-09-06,4092832.0,288029.0,125521.0,6017.0,215313504,0.019008710201474405
50480,Brazil,2020-09-07,4092832.0,0.0,125521.0,0.0,215313504,0.019008710201474405
50481,Brazil,2020-09-08,4092832.0,0.0,125521.0,0.0,215313504,0.019008710201474405
50482,Brazil,2020-09-09,4092832.0,0.0,125521.0,0.0,215313504,0.019008710201474405
50483,Brazil,2020-09-10,4092832.0,0.0,125521.0,0.0,215313504,0.019008710201474405
50484,Brazil,2020-09-11,4092832.0,0.0,125521.0,0.0,215313504,0.019008710201474405
50485,Brazil,2020-09-12,4092832.0,0.0,125521.0,0.0,215313504,0.019008710201474405
50486,Brazil,2020-09-13,4282164.0,189332.0,130396.0,4875.0,215313504,0.019888041950216
50487,Brazil,2020-09-14,4282164.0,0.0,130396.0,0.0,215313504,0.019888041950216
50488,Brazil,2020-09-15,4282164.0,0.0,130396.0,0.0,215313504,0.019888041950216
50489,Brazil,2020-09-16,4282164.0,0.0,130396.0,0.0,215313504,0.019888041950216
50490,Brazil,2020-09-17,4282164.0,0.0,130396.0,0.0,215313504,0.019888041950216
50491,Brazil,2020-09-18,4282164.0,0.0,130396.0,0.0,215313504,0.019888041950216
